,length,height,width,length*heigth*width (Ordering Impact Attenuator)
0,0.2,0.5,0.5,0.05
1,0.2,0.5,0.5,0.05
2,0.2,0.5,0.5,0.05
3,0.2,0.5,0.5,0.05
4,0.2,0.5,0.5,0.05
5,0.2,0.5,0.5,0.05
6,0.2,0.5,0.5,0.05
7,0.2,0.5,0.5,0.05
8,0.2,0.5,0.5,0.05
9,0.2,0.5,0.5,0.05
10,0.2,0.5,0.5,0.05
11,0.2,0.5,0.5,0.05
12,0.2,0.5,0.5,0.05
13,0.2,0.5,0.5,0.05
14,0.2,0.5,0.5,0.05
15,0.2,0.5,0.5,0.05
16,0.35,0.5,0.5,0.0875
17,0.35,0.5,0.5,0.0875
18,0.35,0.5,0.5,0.0875
19,0.35,0.5,0.5,0.0875
20,0.35,0.5,0.5,0.0875
21,0.35,0.5,0.5,0.0875
22,0.35,0.5,0.5,0.0875
23,0.35,0.5,0.5,0.0875
24,0.35,0.5,0.5,0.0875
25,0.35,0.5,0.5,0.0875
26,0.35,0.5,0.5,0.0875
27,0.35,0.5,0.5,0.0875
28,0.35,0.5,0.5,0.0875
29,0.35,0.5,0.5,0.0875
30,0.35,0.5,0.5,0.0875
31,0.35,0.5,0.5,0.0875
32,0.5,0.5,0.5,0.125
33,0.5,0.5,0.5,0.125
34,0.5,0.5,0.5,0.125
35,0.5,0.5,0.5,0.125
36,0.5,0.5,0.5,0.125
37,0.5,0.5,0.5,0.125
38,0.5,0.5,0.5,0.125
39,0.5,0.5,0.5,0.125
40,0.5,0.5,0.5,0.125
41,0.5,0.5,0.5,0.125
42,0.5,0.5,0.5,0.125
43,0.5,0.5,0.5,0.125
44,0.5,0.5,0.5,0.125
45,0.5,0.5,0.5,0.125
46,0.5,0.5,0.5,0.125
47,0.5,0.5,0.5,0.125
48,0.65,0.5,0.5,0.1625
49,0.65,0.5,0.5,0.1625
50,0.65,0.5,0.5,0.1625
51,0.65,0.5,0.5,0.1625
52,0.65,0.5,0.5,0.1625
53,0.65,0.5,0.5,0.1625
54,0.65,0.5,0.5,0.1625
55,0.65,0.5,0.5,0.1625
56,0.65,0.5,0.5,0.1625
57,0.65,0.5,0.5,0.1625
58,0.65,0.5,0.5,0.1625
59,0.65,0.5,0.5,0.1625
60,0.65,0.5,0.5,0.1625
61,0.65,0.5,0.5,0.1625
62,0.65,0.5,0.5,0.1625
63,0.65,0.5,0.5,0.1625